title,author,genre,description
To Kill a Mockingbird,Harper Lee,Classic,"A young girl grows up in the racially charged South, witnessing injustice and moral courage."
Pride and Prejudice,Jane Austen,Romance,"Elizabeth Bennet navigates love, pride, and class in 19th-century England."
1984,George Orwell,Dystopian,A totalitarian regime controls every aspect of life through surveillance and propaganda.
Animal Farm,George Orwell,Political Satire,A group of farm animals overthrow their human owner only to face a new tyranny.
The Great Gatsby,F. Scott Fitzgerald,Classic,A mysterious millionaire pursues love and the American Dream during the Jazz Age.
Moby Dick,Herman Melville,Adventure,Captain Ahab obsessively hunts the white whale that cost him his leg.
Brave New World,Aldous Huxley,Science Fiction,A futuristic society conditioned by pleasure and control faces a moral crisis.
Jane Eyre,Charlotte Brontë,Gothic Romance,An orphaned girl overcomes hardship to find love and independence.
Wuthering Heights,Emily Brontë,Gothic Romance,A dark and passionate love story set on the windswept Yorkshire moors.
Frankenstein,Mary Shelley,Science Fiction,A scientist creates life and faces the consequences of playing God.
Dracula,Bram Stoker,Horror,The story of the infamous vampire who travels to England to spread his curse.
The Catcher in the Rye,J.D. Salinger,Coming of Age,Holden Caulfield reflects on teenage angst and alienation in New York City.
Fahrenheit 451,Ray Bradbury,Dystopian,"In a world where books are banned, firemen burn them to suppress knowledge."
The Hobbit,J.R.R. Tolkien,Fantasy,A humble hobbit embarks on an epic adventure to reclaim a stolen treasure.
The Lord of the Rings,J.R.R. Tolkien,Fantasy,A fellowship sets out to destroy a powerful ring that threatens the world.
The Alchemist,Paulo Coelho,Philosophical Fiction,"A young shepherd seeks his destiny and learns about dreams, fate, and self-discovery."
Crime and Punishment,Fyodor Dostoevsky,Psychological,A young man commits a crime and wrestles with guilt and redemption.
War and Peace,Leo Tolstoy,Historical Fiction,Russian families navigate love and loss during the Napoleonic Wars.
Les Misérables,Victor Hugo,Historical Fiction,An ex-convict seeks redemption amid social and political turmoil in France.
The Picture of Dorian Gray,Oscar Wilde,Classic,"A man remains youthful while his portrait ages, reflecting his moral decay."
Don Quixote,Miguel de Cervantes,Classic,A nobleman imagines himself a knight and sets out on comic adventures.
The Old Man and the Sea,Ernest Hemingway,Adventure,An aging fisherman battles a giant marlin far out at sea.
The Grapes of Wrath,John Steinbeck,Historical Fiction,A poor family migrates westward during the Great Depression.
One Hundred Years of Solitude,Gabriel García Márquez,Magical Realism,The Buendía family saga unfolds in the mythical town of Macondo.
The Kite Runner,Khaled Hosseini,Drama,A man confronts his past in Afghanistan and seeks redemption for his childhood mistakes.
A Tale of Two Cities,Charles Dickens,Historical Fiction,Love and sacrifice during the French Revolution in London and Paris.
The Chronicles of Narnia,C.S. Lewis,Fantasy,Children discover a magical world ruled by good and evil forces.
The Da Vinci Code,Dan Brown,Thriller,A symbologist uncovers secrets of the Holy Grail hidden in famous artworks.
Life of Pi,Yann Martel,Adventure,A boy survives a shipwreck and shares a lifeboat with a tiger.
The Shining,Stephen King,Horror,"A writer becomes the winter caretaker of a haunted hotel, descending into madness."
